_id,channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,canRate,viewerRating,likeCount,publishedAt,updatedAt,label
6651837620ee1df904ba4adf,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,ga ada edho zell,ga edho zel,@hilaliavurys.a3010,https://yt3.ggpht.com/ytc/AIdro_n5qj9yXsDA-9jDsM-gFFWlu0TXt8yeoYqbWrQIcnBEsA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hilaliavurys.a3010,UCDx8T8KXZDk4mph8G5Omyeg,True,none,0,2016-05-21T09:33:40Z,2016-05-21T09:33:40Z,negatif
6651837620ee1df904ba50e0,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Nessie mas<br>Yang pake baju pink,nesie masyang pake baju pink,@yohanestaba6337,https://yt3.ggpht.com/ytc/AIdro_lc3fyehyGqvTDkAdzYG0PXGdQaE2diLTx6fYPwGKo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@yohanestaba6337,UCbvxMjQYv0p5zlmn-jvPUWg,True,none,0,2016-01-05T07:08:36Z,2016-01-05T07:08:36Z,netral
6651837620ee1df904ba4bec,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,petjaaaaaaaaaaaaaaaaaah!!!!! proud of you guyssssss!!!,petjah proud of you guys,@niarf268,https://yt3.ggpht.com/ytc/AIdro_n5ptBPqGgMvVcQLQJWLa4BG3d6suPzIYcQA3zthSEx_Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@niarf268,UCz8VkdT70mpR3TVEJIwk2CA,True,none,0,2015-12-18T01:39:49Z,2015-12-18T01:39:49Z,positif
6651837620ee1df904ba4a2f,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Kangen bet wkwk,kangen bet wkwk,@deviandriani4579,https://yt3.ggpht.com/ytc/AIdro_k5qYhlbClA9t1epLAJe8PkVtJAiDeWZSaGTOJzs0f7sQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@deviandriani4579,UC7G5XhA8ftXuqlQ--n7TwYw,True,none,0,2018-12-09T08:21:18Z,2018-12-09T08:21:18Z,netral
6651837620ee1df904ba4c72,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Menit 3.23 keren mat,menit keren mat,@bocahtencent2486,https://yt3.ggpht.com/ytc/AIdro_lALJyQBEiOWMiz_6J5qXJHfK5Xs0zHSbqus-BFI1kQQA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@bocahtencent2486,UCkTXokztfWvubUIyphLMCQQ,True,none,0,2018-07-15T02:10:07Z,2018-07-15T02:10:07Z,netral
6651837620ee1df904ba4b5e,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Mantullll,mantul,@cetoktvofficial1037,https://yt3.ggpht.com/ytc/AIdro_nPYCZOn0BofWK1lvsTpOgGNJiTbHrnHXo1cdeVlW5vqw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cetoktvofficial1037,UCyz5UR3rBqlttKx5BU-unbg,True,none,0,2021-01-03T09:32:35Z,2021-01-03T09:32:35Z,positif
6651837620ee1df904ba4d63,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,wak bagaga,wak bagaga,@gminpoinblank1913,https://yt3.ggpht.com/ytc/AIdro_nunKReKkziA_6smrj8x4eXychPaoWTWKlYt8EPqOVNlg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@gminpoinblank1913,UCDhjKaJwAXpDuENkwkHraVg,True,none,0,2016-12-23T03:00:32Z,2016-12-23T03:00:32Z,negatif
6651837620ee1df904ba4f3d,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Hahaha!!! Bagua banget dan lucu,hahaha bagua banget lucu,@fps--gaming349,https://yt3.ggpht.com/ytc/AIdro_l2JNK4ZICsghu-oXLY6_IfBMLfMPj4uOaBitS1hwDXYA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fps--gaming349,UCt7B3lUcXWqEdLQTT0UkgfA,True,none,0,2015-12-27T16:12:37Z,2015-12-27T16:12:37Z,positif
6651837620ee1df904ba4f39,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,ada rich chigga njir,rich chiga njir,@rizkymarcelo8512,https://yt3.ggpht.com/ytc/AIdro_lQx8pnNdSAcBKMS3enWOQUsdEDn01CUsvZEln0v41psUI=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rizkymarcelo8512,UCJav2NWB6QlfERPaQOZCWFQ,True,none,0,2016-09-09T11:05:24Z,2016-09-09T11:05:24Z,netral
6651837620ee1df904ba4f90,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,"PARAAAHHH! sampe gak bisa ngedip ni mata, kereeen",parah sampe bisa ngedip ni mata keren,@afifasmayulia,https://yt3.ggpht.com/ytc/AIdro_mYH-uZvI0AeIi5X9l8kRf_DVPwtg86AX0wUpz37VuldRw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@afifasmayulia,UCiu0AOJBuv_R9XkgZwrMCOA,True,none,0,2015-12-11T06:47:34Z,2015-12-11T06:47:34Z,positif
